Rate,Weight,Time,ell,p
0.01,0.0050100000000000006,3.607400993043166e-05,9.69228341e-07,1.15024572e-07
0.011,0.0055049999999999995,4.36514500476743e-05,1.24583634e-06,1.47608026e-07
0.012,0.006,5.195514593380646e-05,2.15886178e-06,2.05559912e-07
0.013,0.006495,6.0976269491459374e-05,2.30538722e-06,2.37985397e-07
0.014,0.0069900000000000006,7.071845691296479e-05,2.67227438e-06,3.15070447e-07
0.015,0.0074849999999999995,8.118679705272103e-05,3.44286669e-06,4.18944857e-07
0.016,0.007980000000000001,9.23769203904175e-05,4.06205054e-06,5.0258587e-07
0.017,0.008475000000000002,0.0001042876645784504,4.3651583e-06,5.55921284e-07
0.018,0.008969999999999999,0.00011692626408782547,4.56949782e-06,5.84519189e-07
0.019,0.009465,0.0001302820797478641,5.83610563e-06,7.75816232e-07
0.02,0.00996,0.00014436546281675988,6.50198832e-06,8.67521573e-07
0.021,0.010455,0.00015917187521860866,7.51063675e-06,1.01578484e-06
0.022,0.01095,0.00017470316031183,8.66739099e-06,1.18064637e-06
0.023,0.011445,0.00019095937551924595,9.30905373e-06,1.27144988e-06
0.024,0.011940000000000001,0.00020793802026287836,1.10071058e-05,1.52506488e-06
0.025,0.012435000000000002,0.00022564264967233824,1.17078042e-05,1.63104992e-06
0.026,0.01293,0.00024407152514267005,1.3475185e-05,1.89409678e-06
0.027,0.013425000000000001,0.0002632263262760757,1.4909033e-05,2.10865044e-06
0.028,0.013920000000000002,0.0002831073102836021,1.67740782e-05,2.38828941e-06
0.029,0.014415000000000002,0.00030371386171174335,1.83436658e-05,2.6218952e-06
0.03,0.014910000000000001,0.0003250430338941393,2.01298864e-05,2.91958769e-06
0.031,0.015403000000000002,0.0003471029860253707,2.11224478e-05,3.0602919e-06
0.032,0.015896,0.00036988619354979657,2.30471684e-05,3.36902999e-06
0.033,0.016389,0.0003933962907234833,2.53303379e-05,3.73433919e-06
0.034,0.016882,0.0004176362789655643,2.80931673e-05,4.1668572e-06
0.035,0.017375,0.0004426047285116407,3.13954657e-05,4.71412706e-06
0.036,0.017868,0.0004682962343802853,3.14570713e-05,4.70347933e-06
0.037,0.018361,0.0004947157124065181,3.53514169e-05,5.35080816e-06
0.038,0.018854,0.0005218651842040907,3.75191146e-05,5.69985092e-06
0.039,0.019347,0.000549746262912479,3.98181856e-05,6.05831655e-06
0.04,0.01984,0.0005783526153652722,4.27810657e-05,6.55377652e-06
0.041,0.020331000000000002,0.0006076876735997381,4.61432794e-05,7.1265886e-06
0.042,0.020822000000000004,0.0006377556960297504,4.76810042e-05,7.36791894e-06
0.043,0.021313,0.0006685517857892864,5.16760962e-05,8.03617913e-06
0.044,0.021804,0.0007000766687543106,5.4813894e-05,8.57310074e-06
0.045,0.022295,0.0007323346861091395,5.84445554e-05,9.18477018e-06
0.046,0.022786,0.0007653215967385466,6.16796694e-05,9.7401586e-06
0.047,0.023277000000000003,0.0007990484863549022,6.30678304e-05,9.95449961e-06
0.048,0.023768,0.0008334951607585934,6.97598798e-05,1.11177254e-05
0.049,0.024259000000000003,0.0008686796360149855,7.16921047e-05,1.14385668e-05
0.05,0.02475,0.0009046013804315761,7.80020895e-05,1.25140718e-05
0.051,0.025238999999999998,0.0009412487697705495,8.11433214e-05,1.30578734e-05
0.052,0.025727999999999997,0.000978627474254421,8.56316671e-05,1.38606627e-05
0.053,0.026217,0.0010167383343411534,9.06818985e-05,1.4779838e-05
0.054,0.026706,0.0010555875850657803,9.35194152e-05,1.52652107e-05
0.055,0.027195,0.0010951731960446376,9.96683081e-05,1.63594214e-05
0.056,0.027684,0.0011355035073877975,0.000102063361,1.671972e-05
0.057,0.028173,0.001176546232716941,0.000108556328,1.79324672e-05
0.058,0.028662000000000003,0.0012183329820572742,0.000112408543,1.86278137e-05
0.059,0.029151,0.0012608601977975884,0.000117630339,1.95590314e-05
0.06,0.02964,0.0013041223599888972,0.000121984298,2.03421384e-05
0.061,0.030127,0.001348121930438302,0.000129347468,2.16792486e-05
0.062,0.030614000000000002,0.001392858113792987,0.000136138227,2.29284599e-05
0.063,0.031101000000000004,0.0014383367262831225,0.000139798208,2.35566475e-05
0.064,0.031588000000000005,0.0014845390764173091,0.000147808371,2.50857476e-05
0.065,0.032075000000000006,0.001531491792756542,0.000150931887,2.56248338e-05
0.066,0.03256200000000001,0.0015791799907816809,0.000160452213,2.74202337e-05
0.067,0.03304900000000001,0.0016276091492908769,0.000166656195,2.85675824e-05
0.068,0.033536,0.0016767861274253131,0.000171420441,2.93993668e-05
0.069,0.034023000000000005,0.001726685891474481,0.000179566268,3.09760747e-05
0.07,0.034510000000000006,0.0017773340885671716,0.000186207436,3.22253351e-05
0.071,0.035003,0.0018287299948571841,0.00019376178,3.36402531e-05
0.072,0.035496,0.0018808585505879333,0.000197396905,3.43055943e-05
0.073,0.03598899999999999,0.0019337351038698997,0.000206529295,3.60472868e-05
0.074,0.036481999999999994,0.0019873507371010396,0.000212596919,3.71950863e-05
0.075,0.036974999999999994,0.0020417081547405114,0.000220308899,3.86790639e-05
0.076,0.037467999999999994,0.002096814466038361,0.000228522183,4.02479781e-05
0.077,0.037960999999999995,0.0021526667593923677,0.000231420162,4.0764293e-05
0.078,0.038453999999999995,0.0022092531095794623,0.000242533592,4.29344175e-05
0.079,0.038946999999999996,0.002266597063858204,0.000254694231,4.53052759e-05
