Rate,Weight,Time
0.01,0.0049900000000000005,3.615829401251067e-05
0.011,0.005488999999999999,4.3762469266926673e-05
0.012,0.005987999999999999,5.209385763536948e-05
0.013,0.006486999999999999,6.115383902819329e-05
0.014,0.006985999999999999,7.094202875209882e-05
0.015,0.007484999999999999,8.145998595530019e-05
0.016,0.007984,9.270671766851411e-05
0.017,0.008483,0.00010468332309467542
0.018,0.008981999999999999,0.00011739244779201109
0.019,0.009480999999999998,0.00013083224613610347
0.02,0.00998,0.00014500281555418176
0.021,0.010476,0.00015990792184022304
0.022,0.010971999999999999,0.00017554253164318685
0.023,0.011467999999999999,0.00019191377927372806
0.024,0.011964,0.00020902131261306056
0.025,0.01246,0.0002268591563582585
0.026,0.012955999999999999,0.00024543244782543485
0.027,0.013452,0.00026474726714205833
0.028,0.013948,0.00028479593859146997
0.029,0.014444000000000002,0.00030557726618046256
0.03,0.01494,0.00032709453974058284
0.031,0.015434,0.0003493632950147053
0.032,0.015928,0.00037236439171785973
0.033,0.016422,0.0003960977058290914
0.034,0.016916,0.0004205671402674686
0.035,0.017410000000000002,0.00044581092631111423
0.036,0.017903999999999996,0.0004717636413343505
0.037,0.018397999999999998,0.0004984737823127362
0.038,0.018892,0.0005259044846883277
0.039,0.019385999999999997,0.0005541213929058889
0.04,0.01988,0.0005830393337872866
0.041,0.020377,0.0006126742565843822
0.042,0.020874,0.0006431266536135179
0.043,0.021370999999999998,0.0006743145037212477
0.044,0.021868,0.000706238591129461
0.045,0.022365,0.0007389033175723887
0.046,0.022862,0.0007723090886672625
0.047,0.023359,0.0008064512954584169
0.048,0.023856000000000002,0.0008413190646754329
0.049,0.024353000000000003,0.0008769429744061542
0.05,0.024850000000000004,0.0009134195983409043
0.051,0.025341,0.000950621606046514
0.052,0.025832,0.0009885123476275047
0.053,0.026323,0.0010270406556118093
0.054,0.026814,0.0010665690197984466
0.055,0.027305,0.0011067792876768815
0.056,0.027796,0.0011475307585683322
0.057,0.028287,0.0011893509342629591
0.058,0.028778,0.0012317782100395326
0.059,0.029268999999999996,0.0012748469319314138
0.06,0.029759999999999998,0.0013189554901830622
0.061,0.030248999999999998,0.0013633496095415108
0.062,0.030737999999999998,0.0014091239115350696
0.063,0.031227,0.0014549276011481893
0.064,0.031715999999999994,0.0015023238725776849
0.065,0.032205,0.0015496295873560415
0.066,0.032694,0.0015985663354993658
0.067,0.033183000000000004,0.0016474759359803065
0.068,0.03367200000000001,0.0016978214467915096
0.069,0.034161,0.001748447519861472
0.07,0.03465,0.0018000032988549027
0.071,0.035144999999999996,0.0018524707187490329
0.072,0.03564,0.0019049381386431682
0.073,0.036134999999999994,0.001959397228254289
0.074,0.036629999999999996,0.0020138450122766656
0.075,0.037125,0.002068976749316129
0.076,0.03762,0.0021255602776824967
0.077,0.038115,0.002182143806048864
0.078,0.03861,0.0022397135253795133
0.079,0.039105,0.002298607214433082
0.08,0.0396,0.0023575009034866503
0.081,0.040086000000000004,0.0024171481068068794
0.082,0.040572000000000004,0.0024785486514710226
0.083,0.041058000000000004,0.002539949196135166
0.084,0.041544000000000005,0.0026013497407993097
0.085,0.042030000000000005,0.002665239923372161
0.086,0.042516,0.002729370260791877
0.087,0.043002,0.0027935005982115927
0.088,0.043488,0.0028583077443617593
0.089,0.043974,0.002925421940220296
0.09,0.04446,0.0029925361360788327
0.091,0.044944000000000005,0.0030596503319373696
0.092,0.045428,0.003126764527795907
0.093,0.045912,0.003197822951888237
0.094,0.04639600000000001,0.003268212279779635
0.095,0.046880000000000005,0.0033386016076710325
0.096,0.047364,0.0034089909355624307
0.097,0.047848,0.003482254733562743
0.098,0.04833200000000001,0.0035562553150065204
0.099,0.048816000000000005,0.0036302558964502966
0.1,0.049300000000000004,0.003704256477894074
0.101,0.049793000000000004,0.0037782570593378507
0.102,0.050286,0.0038560340961913842
0.103,0.050779,0.003934036608192658
0.104,0.051272,0.0040120391201939306
0.105,0.051765,0.004090041632195204
0.106,0.052258,0.004168044144196477
0.107,0.052751,0.004248619120400429
0.108,0.053244,0.004331081280592402
0.109,0.053737,0.004413543440784375
0.11,0.05423,0.0044960056009763485
0.111,0.054711,0.004578467761168321
0.112,0.055192000000000005,0.004660929921360294
0.113,0.055673,0.004746438710804696
0.114,0.056154,0.004833901552055035
0.115,0.056635000000000005,0.0049213643933053745
0.116,0.05711600000000001,0.005008827234555714
0.117,0.05759700000000001,0.005096290075806054
0.118,0.058078,0.0051837529170563924
0.119,0.058559,0.005271215758306733
0.12,0.05904,0.005363953966235216
0.121,0.05951900000000001,0.0054570633706266984
0.122,0.05999800000000001,0.005550172775018181
0.123,0.06047700000000001,0.005643282179409661
0.124,0.06095600000000001,0.005736391583801143
0.125,0.06143500000000001,0.0058295009881926246
0.126,0.06191400000000001,0.005922610392584105
0.127,0.06239300000000001,0.006015719796975587
0.128,0.06287200000000001,0.006117944795120336
0.129,0.06335100000000002,0.00621748046867125
0.13,0.06383000000000003,0.006317016142222165
0.131,0.06432100000000002,0.006416551815773079
0.132,0.06481200000000001,0.006516087489323994
0.133,0.06530300000000001,0.006615623162874907
0.134,0.065794,0.0067151588364258216
0.135,0.06628500000000001,0.006814694509976737
0.136,0.06677600000000002,0.006920818780504993
0.137,0.06726700000000001,0.007027733984421503
0.138,0.06775800000000001,0.007134649188338016
0.139,0.068249,0.007241564392254527
0.14,0.06874000000000001,0.00734847959617104
0.141,0.069216,0.007455394800087551
0.142,0.069692,0.007562310004004063
0.143,0.07016800000000001,0.007669225207920575
0.144,0.070644,0.007776140411837086
