Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.024,0.011904761904761904,0.00020282779857813606,5.30738004e-05,9.36053091e-06,1.3902209129999998e-06,7.128366602999999e-07,8.49639996e-06,6.69437417e-06,3.4223097827e-06,0.0118350765
0.025,0.012048192771084338,0.00021980012821288478,5.36368075e-05,9.48062721e-06,2.482710217e-06,1.2655154146e-06,6.51317551e-06,5.5562299650000004e-06,2.8481617940000002e-06,0.0109839671
0.026,0.0125,0.00023750156257623317,6.09975121e-05,1.08275318e-05,2.7118119999999995e-06,1.3565694173859997e-06,7.6911181e-06,6.48933045e-06,3.356779367e-06,0.0114505682
0.027,0.013157894736842105,0.0002558289509022706,6.75025531e-05,1.21606129e-05,7.600285330000006e-07,3.800142665000003e-07,1.10574598e-05,9.546845539999999e-06,4.882836293999999e-06,0.013157831
0.028,0.0136986301369863,0.0002749620217963566,7.17579695e-05,1.28442913e-05,7.26765096e-07,3.63382548e-07,1.16401367e-05,1.021911423e-05,5.2625740249999995e-06,0.0136914923
0.029,0.014285714285714285,0.00029458075653927964,8.19098163e-05,1.49267101e-05,7.680125439999997e-07,4.009545881999998e-07,1.39030925e-05,1.188163121e-05,6.081256526e-06,0.0142854765
0.03,0.014705882352941176,0.00031503330911778106,9.30374672e-05,1.7071529e-05,1.8003437009999995e-06,9.001718504999998e-07,1.52798445e-05,1.269483931e-05,6.5743251100000006e-06,0.0146949641
0.031,0.015384615384615385,0.00033624453715614387,0.000103294877,1.97120221e-05,7.879105569999991e-07,5.643704624999996e-07,1.87412681e-05,1.567081754e-05,7.83540878193475e-06,0.0153544653
0.032,0.015625,0.0003578585517474372,0.000108371262,2.00604711e-05,1.4985841360000006e-06,7.714564092000004e-07,1.80807024e-05,1.552114438e-05,8.027819673e-06,0.0156105096
0.033,0.016129032258064516,0.00038032021951263796,0.000111633366,2.06733032e-05,1.8507175249999988e-06,9.355007895999994e-07,1.85959638e-05,1.567972949e-05,8.116981934999999e-06,0.0161289373
0.034,0.01639344262295082,0.00040344506144139353,0.000138150105,2.62373261e-05,3.47987068e-06,1.8282940037e-06,2.21245918e-05,1.867971886e-05,9.643400952e-06,0.0163777307
0.035,0.017241379310344827,0.00042726586067198347,0.00014498333,2.76230542e-05,2.803535490000001e-06,1.4017677450000015e-06,2.50587872e-05,2.0588991419999997e-05,1.0719446297999998e-05,0.0172413613
0.036,0.017543859649122806,0.00045166707007900916,0.000141609384,2.66619755e-05,3.073509119999999e-06,1.6438907919999995e-06,2.34551566e-05,1.952793797e-05,1.0090900425000001e-05,0.017506378
0.037,0.01818181818181818,0.0004767285396027237,0.000153278241,2.91251154e-05,2.7819879800000002e-06,1.507753575e-06,2.60778156e-05,2.186982333e-05,1.1286822261e-05,0.0181402541
0.038,0.018867924528301886,0.0005025074147102667,0.000171223002,3.28464147e-05,3.391711789999999e-06,1.7714972556999995e-06,2.94972554e-05,2.442598096e-05,1.2708958885000001e-05,0.0183792119
0.039,0.018518518518518517,0.000528989228323083,0.000177203654,3.38785735e-05,4.539741360000002e-06,2.405016978000001e-06,2.71258671e-05,2.4192958049999998e-05,1.2516411788999999e-05,0.0185177185
0.04,0.0196078431372549,0.0005560676165342734,0.000195805584,3.81864745e-05,3.5752343599999994e-06,2.0977017949999997e-06,3.43230983e-05,2.8594209250000002e-05,1.4629631405e-05,0.0196066979
0.041,0.02,0.0005837386966168262,0.000205138219,3.97772525e-05,4.144391390000003e-06,2.1561903191000015e-06,3.50115362e-05,2.94915507e-05,1.5410585066999998e-05,0.0199991901
0.042,0.02,0.0006121778608302802,0.000201928557,3.88578681e-05,6.683127209999997e-06,3.4466198039999987e-06,3.09344173e-05,2.6190501550000003e-05,1.3681349329000002e-05,0.0199996655
0.043,0.020833333333333332,0.0006413333837915616,0.000240870615,4.74068571e-05,6.917081040000003e-06,3.645423716000001e-06,3.99371546e-05,3.31194286e-05,1.7299069815e-05,0.020814457
0.044,0.02127659574468085,0.000671052819001662,0.000249508778,4.91882126e-05,6.723799550000001e-06,3.6465156590000007e-06,4.15374348e-05,3.47850891e-05,1.8066492327000002e-05,0.0212765602
0.045,0.021739130434782608,0.0007014674805336505,0.000266226691,5.27533469e-05,7.547085150000001e-06,4.044510670000001e-06,4.42617362e-05,3.69571749e-05,1.9248704946e-05,0.0217386561
0.046,0.022222222222222223,0.0007325615408710454,0.000277920389,5.51149913e-05,8.34671767e-06,4.355444976e-06,4.61026329e-05,3.820193015e-05,2.0047972786e-05,0.0222213423
0.047,0.022727272727272728,0.0007642431686714829,0.000295489361,5.89128825e-05,7.2985124599999995e-06,3.859319136e-06,5.01523038e-05,4.24084312e-05,2.223960697e-05,0.0227269073
0.048,0.023255813953488372,0.0007966298719523171,0.000317072424,6.36275224e-05,7.70991372e-06,4.143373468e-06,5.42372388e-05,4.59494859e-05,2.406978961e-05,0.0232355316
0.049,0.023809523809523808,0.0008296282083190695,0.000333797593,6.72323262e-05,7.949695070000001e-06,4.253408187000001e-06,5.80775706e-05,4.8750703600000005e-05,2.5596416710000003e-05,0.0238086484
0.05,0.024390243902439025,0.0008633646004488132,0.000358221363,7.27436599e-05,8.53869052e-06,4.431609009e-06,6.22830414e-05,5.27386934e-05,2.786236471e-05,0.0243902173
0.051,0.024390243902439025,0.0008976648051570315,0.000371322918,7.52987245e-05,1.2731292950000003e-05,6.690523174000002e-06,6.05394201e-05,5.073728605e-05,2.6764599734999997e-05,0.0243844563
0.052,0.025,0.0009327714055547393,0.000391412628,7.97155138e-05,1.255846467e-05,6.634337759e-06,6.57401624e-05,5.46377302e-05,2.883753775e-05,0.024999917
0.053,0.02564102564102564,0.0009684378837453055,0.000401892531,8.19504301e-05,1.133805163e-05,6.013864026999999e-06,6.884075e-05,5.7744038e-05,3.047335381e-05,0.0256409584
0.054,0.02631578947368421,0.0010046036234778043,0.000428863588,8.79746041e-05,1.0447700879999996e-05,5.595502618999998e-06,7.59134613e-05,6.371143505e-05,3.3662558975e-05,0.026315614
0.055,0.02631578947368421,0.0010416900519169526,0.000452871352,9.32528439e-05,1.629183676e-05,8.801442771e-06,7.42493752e-05,6.22454726e-05,3.27677524e-05,0.0263150099
0.056,0.02702702702702703,0.001079347874085534,0.00047004328,9.69864203e-05,1.4139526439999998e-05,7.585597884999999e-06,8.02885609e-05,6.758273735e-05,3.5737265295000005e-05,0.0270269941
