Rate,Weight,Time,ell,p,p_x,p_y,N
0.147,0.070119,0.007205402905792067,0.00606537471,0.00149108631,0.001270763377,0.0007348682033000001,0.070119
0.148,0.070596,0.007302642621932471,0.00619771,0.00152639,0.001301005,0.0007531125,0.070596
0.149,0.07107300000000001,0.00740049852018082,0.00626548,0.00154216,0.00131532,0.00076196,0.07107300000000001
0.15,0.07155,0.007499047860011442,0.00640076,0.0015783,0.0013463099999999999,0.0007806849999999999,0.07155
0.151,0.07202700000000001,0.00759829680859528,0.00649692,0.00160272,0.00136768,0.00079367,0.07202700000000001
0.152,0.072504,0.007698155796847413,0.0066181,0.0016345,0.0013951900000000001,0.000810425,0.072504
0.153,0.072981,0.007798680266664387,0.00669967,0.00165413,0.0014128349999999999,0.0008213574999999999,0.072981
0.154,0.07345800000000001,0.007899932145953158,0.00678808,0.00167589,0.001432205,0.0008333125,0.07345800000000001
0.155,0.07393500000000001,0.008001731658789648,0.00697656,0.00172813,0.001476485,0.0008600225000000001,0.07393500000000001
0.156,0.074412,0.008104310275612963,0.00715798,0.00177824,0.00151908,0.0008858199999999999,0.074412
0.157,0.07488900000000001,0.00820746003854986,0.00723388,0.00179604,0.0015353200000000002,0.0008959800000000001,0.07488900000000001
0.158,0.07536600000000002,0.008311332028605681,0.00736524,0.00183078,0.00156542,0.0009143900000000001,0.07536600000000002
0.159,0.07584300000000001,0.008415896238183852,0.00750193,0.00186723,0.001596925,0.0009335824999999999,0.07584300000000001
0.16,0.07632000000000001,0.00852105041929587,0.00762608,0.00189952,0.00162518,0.00095103,0.07632000000000001
0.161,0.07679700000000002,0.008626991798055116,0.00780968,0.00195027,0.001668475,0.0009774075,0.07679700000000002
0.162,0.07727400000000001,0.008733471995365906,0.00788383,0.00196725,0.0016842049999999998,0.0009873524999999999,0.07727400000000001
0.163,0.07775100000000001,0.008840740157019258,0.00798147,0.00199157,0.0017059049999999997,0.0010007924999999999,0.07775100000000001
