Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.035,0.017241379310344827,0.0004289722892601724,0.000238700646,2.60315866e-05,3.251693300000001e-06,1.6500552537000004e-06,2.25359071e-05,1.807974394e-05,9.0962301533e-06,0.0168374098
0.036,0.017857142857142856,0.0004537342856953502,0.000242990712,2.63159469e-05,3.7922722399999998e-06,1.9627903793e-06,2.29806406e-05,1.797182909e-05,9.0331565572e-06,0.0173227921
0.037,0.01818181818181818,0.0004790260028690116,0.00030074973,3.38560608e-05,2.9638716299999986e-06,1.5189277484999994e-06,3.07202198e-05,2.4606787870000002e-05,1.2342303959200001e-05,0.0181640662
0.038,0.018518518518518517,0.000504821409392274,0.000306440464,3.43700378e-05,4.22944757e-06,2.1450432783e-06,2.92242136e-05,2.387384396e-05,1.20354508207e-05,0.0183319951
0.039,0.018867924528301886,0.0005312147314343365,0.000281645481,3.08250553e-05,3.639522750000001e-06,1.8503392774000005e-06,2.64474666e-05,2.173869464e-05,1.0969998177e-05,0.0188495315
0.04,0.0196078431372549,0.0005586382288188542,0.000339448119,3.80993036e-05,3.854674100000002e-06,1.927341916014661e-06,3.41217397e-05,2.7136045449999998e-05,1.3601682035599998e-05,0.0195886927
0.041,0.02,0.0005868550975586622,0.000350746946,3.906122e-05,6.448911299999999e-06,3.2244556499999996e-06,3.19802055e-05,2.534612087e-05,1.27094277847e-05,0.0199804753
0.042,0.020833333333333332,0.0006151572458393516,0.000403084945,4.70464404e-05,3.13225552e-06,1.6028584455e-06,4.3240846e-05,3.4956287e-05,1.75362782277e-05,0.0208131597
0.043,0.020833333333333332,0.0006445475045287687,0.000379340917,4.25664651e-05,6.628930770000002e-06,3.316292924600001e-06,3.48949467e-05,2.797592655e-05,1.40368056153e-05,0.0207780934
0.044,0.02127659574468085,0.0006748040139854531,0.000413710774,4.55372112e-05,6.910081850000002e-06,3.485810778600001e-06,3.73449164e-05,3.0092691499999997e-05,1.5092403533099999e-05,0.0212716839
0.045,0.021739130434782608,0.0007051921574909262,0.000424875464,4.83037523e-05,6.62417331e-06,3.3250607874e-06,3.99650325e-05,3.250773085e-05,1.62901375127e-05,0.0216780843
0.046,0.022222222222222223,0.0007364079624563301,0.000455113322,5.30502228e-05,8.154548999999999e-06,4.0902611437999995e-06,4.31542049e-05,3.474350425e-05,1.74116058941e-05,0.0221573669
0.047,0.022727272727272728,0.0007685323709043068,0.00049308235,5.82081366e-05,8.918913859999998e-06,4.4969588398999985e-06,4.7094749e-05,3.81548007e-05,1.9192231136999997e-05,0.0227051949
0.048,0.023255813953488372,0.0008011579668436338,0.000491128814,5.72032015e-05,7.879117460000002e-06,3.948174473700001e-06,4.79055466e-05,3.8375232500000004e-05,1.92638327023e-05,0.0232523924
0.049,0.023809523809523808,0.0008345411396014432,0.000504143657,5.9139781e-05,7.76640834e-06,3.89008213318e-06,4.92348319e-05,3.996403795e-05,2.00325114595e-05,0.0237862831
0.05,0.024390243902439025,0.0008690087369695604,0.000613771342,7.46544125e-05,9.535598009999997e-06,4.821589631899999e-06,6.28762889e-05,5.060444835e-05,2.5480705978e-05,0.0242427479
0.051,0.024390243902439025,0.0009035218783274546,0.000604961425,7.26311858e-05,1.2220127709999998e-05,6.156915415699999e-06,5.55820532e-05,4.6470136599999996e-05,2.3420394830999996e-05,0.0243664261
0.052,0.025,0.0009387735550711884,0.000604721886,7.26909921e-05,1.1891150629999996e-05,6.040914746799998e-06,5.81904835e-05,4.658690565e-05,2.3293452825267658e-05,0.0249999942
0.053,0.02564102564102564,0.0009752438013062094,0.000699796553,8.61976263e-05,1.1804998560000001e-05,6.024380284e-06,7.05726398e-05,5.7519696199999996e-05,2.8934474660999997e-05,0.0256167396
0.054,0.02631578947368421,0.0010117154498964873,0.000644422267,7.78677303e-05,1.2285151020000005e-05,6.186245934600003e-06,6.52785795e-05,5.0633325349999994e-05,2.5477802642999997e-05,0.0263155645
0.055,0.02631578947368421,0.0010488472404631662,0.000650570507,7.80368537e-05,1.3117107440000002e-05,6.599569086000001e-06,6.10481853e-05,4.980297745e-05,2.5055974586e-05,0.0263110949
0.056,0.02702702702702703,0.001087195389771877,0.000738880206,9.15624224e-05,1.4604470980000003e-05,7.336592822100001e-06,7.41086255e-05,5.851237665e-05,2.9420704087e-05,0.0270252039
0.057,0.027777777777777776,0.0011257085967895518,0.00075949401,9.40201116e-05,1.1775682640000003e-05,5.930559436600001e-06,8.05957563e-05,6.358762055e-05,3.1987796514000004e-05,0.027750653
0.058,0.027777777777777776,0.0011657508640308214,0.000799225393,9.89415445e-05,1.90819969e-05,9.54099845002122e-06,7.47162865e-05,5.963198215e-05,2.9815991075016872e-05,0.0277777717
0.059,0.02857142857142857,0.0012053401950852963,0.000792708956,9.84261274e-05,1.5959125239999995e-05,8.021363693099998e-06,7.83245344e-05,6.2805021e-05,3.1568594548000005e-05,0.0285435257
0.06,0.029411764705882353,0.00124617613875766,0.000910995147,0.000115389936,1.491701949e-05,7.580413699e-06,9.77074226e-05,7.70014585e-05,3.8607959978e-05,0.029411738
0.061,0.029411764705882353,0.0012874797973868126,0.000882720108,0.000110721525,1.9143551439999996e-05,9.649222032799998e-06,8.79941459e-05,6.949159085e-05,3.4986687639e-05,0.0293830423
0.062,0.029411764705882353,0.0013294879283132686,0.000930506095,0.000116709724,2.7530574899999997e-05,1.3866529102999999e-05,8.29344616e-05,6.597353590000001e-05,3.3323512538e-05,0.0293830494
0.063,0.030303030303030304,0.0013722871612704098,0.000954046819,0.000120872577,2.0516325300000002e-05,1.0395777865e-05,9.56811477e-05,7.604539555e-05,3.824515476e-05,0.0302734372
0.064,0.03125,0.0014158490254323048,0.00102164289,0.000130167582,1.8038116549999997e-05,9.097970097299999e-06,0.00010817541,8.57104807e-05,4.3179542263e-05,0.0312486362
0.065,0.03125,0.0014602408409983185,0.00109288554,0.000141600376,2.7341274399999994e-05,1.3764325862999997e-05,0.000108983864,8.51923005e-05,4.2858251488999996e-05,0.0311410064
0.066,0.03125,0.0015055985107387069,0.00115857082,0.000150911899,3.8373291600000006e-05,1.9505082577000004e-05,0.000102910225,8.182577069999999e-05,4.1376745148999997e-05,0.0312194823
0.067,0.03225806451612903,0.0015502346021947296,0.00109766445,0.000141459933,2.4469227279999988e-05,1.2286481712799994e-05,0.000110666921,8.79412959e-05,4.4232083282999996e-05,0.0322265768
0.068,0.03225806451612903,0.0015960338071689612,0.00113747356,0.000146933458,3.123728530000001e-05,1.5743384455000002e-05,0.000106244681,8.55104977e-05,4.2976089024e-05,0.0322519033
0.069,0.03333333333333333,0.0016432611702185893,0.00120159913,0.000156609978,2.33817566e-05,1.17856975642e-05,0.000125360887,0.0001011310175,5.1027675142e-05,0.0333312176
0.07,0.03333333333333333,0.001691123882957132,0.00130469104,0.000170834634,3.702356690000001e-05,1.8910422068000003e-05,0.000125408776,9.907501629999999e-05,5.006761732899999e-05,0.0333111182
0.071,0.034482758620689655,0.0017388892029345016,0.00129157931,0.000170312901,2.6554637699999997e-05,1.32918951426e-05,0.000137869682,0.00010844950670000001,5.475817007200001e-05,0.034449084
0.072,0.034482758620689655,0.0017877534362796864,0.00133129171,0.000175723333,3.1088424599999994e-05,1.5688288094999997e-05,0.000135571092,0.0001079778351,5.430524106e-05,0.0344827363
0.073,0.03571428571428571,0.0018368717733933404,0.00135206089,0.000179691765,2.3644802710000004e-05,1.1936902308000002e-05,0.000148750485,0.0001182923572,5.9461036384000005e-05,0.0357108855
0.074,0.03571428571428571,0.0018877355437844471,0.00143767628,0.000191661667,2.8337206339999998e-05,1.4259343192599998e-05,0.000153937993,0.0001234939655,6.2436196938e-05,0.0356794083
0.075,0.03571428571428571,0.0019381490141849615,0.00145563591,0.000194204038,3.79701065e-05,1.9088571832e-05,0.000145756986,0.0001154354343,5.8169608289e-05,0.0357142461
0.076,0.037037037037037035,0.0019897304087080304,0.00154713937,0.000209166091,2.8099437150000006e-05,1.4143250722900003e-05,0.000171291377,0.0001369314943,6.9115230606e-05,0.0370008679
0.077,0.037037037037037035,0.0020421882322283827,0.00155675182,0.00020941527,3.795593619999999e-05,1.9122967160999994e-05,0.000160872492,0.0001273477387,6.4245557804e-05,0.0370335155
0.078,0.037037037037037035,0.0020949805030477603,0.00157761777,0.000212634357,5.05830077e-05,2.5409531398000002e-05,0.000151862071,0.0001168633044,5.8715997539999994e-05,0.037000875
0.079,0.038461538461538464,0.0021485872677585146,0.00170190661,0.00023162211,3.51100402e-05,1.7876708608e-05,0.000187663533,0.00014781716420000002,7.4762929172e-05,0.0384611293
0.08,0.038461538461538464,0.0022029174720310475,0.00173834004,0.000237665915,4.301299010000001e-05,2.1718030052000003e-05,0.00018408447,0.0001441921362,7.2819790082e-05,0.0384580607
0.081,0.038461538461538464,0.0022574831979726945,0.00175823784,0.000239755788,5.2710189899999997e-05,2.6606329414999997e-05,0.000173394373,0.00013610972609999998,6.8667809357e-05,0.0384595549
0.082,0.04,0.0023130989659962227,0.00186264573,0.000257590945,3.893347479999999e-05,1.9661637283999996e-05,0.000209840455,0.0001633384898,8.2437594603e-05,0.0399877708
0.083,0.04,0.0023699432143043384,0.00182509506,0.000250616294,4.6952639400000015e-05,2.3705173146000007e-05,0.000191743199,0.00014973472619999998,7.530271351799999e-05,0.0399999693
0.084,0.04,0.002426561706016528,0.00192783845,0.000266316647,5.7989122500000015e-05,2.9235134898000008e-05,0.000194036002,0.00015126979769999999,7.6425132243e-05,0.0399998662
0.085,0.04,0.0024840033422485943,0.00193076289,0.000266400354,5.928603100000001e-05,2.9995937137000007e-05,0.000190311239,0.00014948019429999998,7.5156511405e-05,0.0399973617
