Rate,Weight,Time,ell,p,i,N
0.065,0.03125,0.001532211434882918,0.000150015198,2.53580276e-05,1.0564949e-05,0.03125
0.066,0.03225806451612903,0.0015802480824571399,0.000157175902,2.66982302e-05,1.20463205e-05,0.0322580645
0.067,0.03225806451612903,0.0016285345169134628,0.00016348042,2.78221391e-05,1.16098019e-05,0.0322580645
0.068,0.03333333333333333,0.0016778934237380752,0.000168232294,2.88003817e-05,1.30869583e-05,0.0333333333
0.069,0.03333333333333333,0.0017278677629471975,0.000173857423,2.97759821e-05,1.25582608e-05,0.0333333225
0.07,0.034482758620689655,0.0017784123131371614,0.00018697757,3.22738454e-05,1.5041155e-05,0.0344827466
0.071,0.034482758620689655,0.001830173519129512,0.000195898567,3.40244241e-05,1.45890013e-05,0.0344827406
0.072,0.034482758620689655,0.0018819142330554406,0.000194518614,3.35930564e-05,1.3750906e-05,0.0344827572
0.073,0.03571428571428571,0.0019352257117939086,0.00020401557,3.55220852e-05,1.60032058e-05,0.0357142631
0.074,0.03571428571428571,0.0019889307614790316,0.000215371698,3.76539404e-05,1.58536115e-05,0.0357142674
0.075,0.037037037037037035,0.0020428727244761074,0.000219840801,3.85307775e-05,1.79593877e-05,0.037037037
0.076,0.037037037037037035,0.002098638348363075,0.000223152853,3.91146254e-05,1.71935603e-05,0.0370370084
0.077,0.037037037037037035,0.002154417521104669,0.000231149271,4.05648156e-05,1.6900436e-05,0.037037037
0.078,0.038461538461538464,0.0022106776234102916,0.000243956048,4.32204615e-05,2.00562013e-05,0.0384615385
0.079,0.038461538461538464,0.002268714313910291,0.000246205984,4.35172823e-05,1.90763264e-05,0.0384615385
0.08,0.038461538461538464,0.00232674236372163,0.000255454812,4.52442189e-05,1.86500756e-05,0.0384615128
0.081,0.04,0.002384983345314694,0.000264321673,4.71220928e-05,2.20064993e-05,0.04
0.082,0.04,0.002445465945661636,0.000282154941,5.06137505e-05,2.24202395e-05,0.04
0.083,0.04,0.0025059393598144937,0.000282360964,5.04292955e-05,2.11152106e-05,0.04
0.084,0.04,0.002566516964796855,0.000269587002,4.77203519e-05,1.8770763e-05,0.0399999775
0.085,0.041666666666666664,0.0026287527061832775,0.000300706765,5.41557459e-05,2.47388795e-05,0.0416666667
0.086,0.041666666666666664,0.002691837188182328,0.00031249842,5.64675159e-05,2.41246049e-05,0.0416666667
0.087,0.041666666666666664,0.0027549943239866996,0.000325140743,5.88538531e-05,2.40514096e-05,0.0416666667
0.088,0.043478260869565216,0.002818141388573636,0.000329759208,6.00412658e-05,2.77058244e-05,0.0434782609
0.089,0.043478260869565216,0.0028841835131098933,0.000349735979,6.39789232e-05,2.85415995e-05,0.0434782609
0.09,0.043478260869565216,0.00295018535557873,0.000347906035,6.33754946e-05,2.66316602e-05,0.0434782609
0.091,0.043478260869565216,0.0030162191803144098,0.00035044206,6.37514624e-05,2.58726739e-05,0.0434782609
0.092,0.043478260869565216,0.0030822358625156375,0.000363998783,6.63634385e-05,2.52793593e-05,0.0434782609
0.093,0.045454545454545456,0.0031514618039349775,0.000397102386,7.36155135e-05,3.28466278e-05,0.0454545455
0.094,0.045454545454545456,0.0032206536676236642,0.000392427606,7.22151489e-05,3.05372472e-05,0.0454545455
0.095,0.045454545454545456,0.0032898134183046617,0.000400225127,7.38007128e-05,2.96523494e-05,0.0454545455
