Rate,Weight,Time,ell,p,p_x,p_y,N
0.035,0.017225,0.0004284925103009929,0.000217641453,2.33416095e-05,1.912556021e-05,9.56603651628e-06,1.0
0.036,0.017699999999999997,0.0004530164730371331,0.00024189663,2.63390961e-05,2.158793943e-05,1.08300638105e-05,1.0
0.037,0.018174999999999997,0.0004782845856756897,0.000257636336,2.83088843e-05,2.314711421e-05,1.16115319233e-05,1.0
0.038,0.01865,0.0005041855235756291,0.000274639506,3.0364137e-05,2.4804897990000002e-05,1.24353558952e-05,1.0
0.039,0.019125,0.0005308000716359933,0.000300213939,3.35411273e-05,2.733556635e-05,1.37006579109e-05,1.0
0.04,0.0196,0.0005580826956523663,0.000311609168,3.48412405e-05,2.846376485e-05,1.4311395413600001e-05,1.0
0.041,0.020095000000000002,0.0005860733638107489,0.000344404268,3.87830154e-05,3.1575981e-05,1.58502018187e-05,1.0
0.042,0.02059,0.0006146394521252573,0.000350674425,3.97703869e-05,3.236498375e-05,1.62506874911e-05,1.0
0.043,0.021085,0.0006439533167078553,0.00039195435,4.52480044e-05,3.66579177e-05,1.83686945702e-05,1.0
0.044,0.02158,0.0006739594180431957,0.000421333678,4.91015511e-05,3.970704745e-05,1.98952767449e-05,1.0
0.045,0.022074999999999997,0.0007045196900199988,0.00041852253,4.84342292e-05,3.92752035e-05,1.9721500731899998e-05,1.0
0.046,0.02257,0.000735897323998104,0.000452159046,5.24870251e-05,4.250337835e-05,2.13435769058e-05,1.0
0.047,0.023065,0.0007678769547259009,0.000466267884,5.42624502e-05,4.3902929399999995e-05,2.2034620913999998e-05,1.0
0.048,0.02356,0.0008004550007005918,0.000489065155,5.76059008e-05,4.65329807e-05,2.3349386026700002e-05,1.0
0.049,0.024055,0.0008337905885686758,0.000528862968,6.28375242e-05,5.07377851e-05,2.5501134260999998e-05,1.0
0.05,0.02455,0.0008677667516995402,0.000548270013,6.54552156e-05,5.27554517e-05,2.6483598097e-05,1.0
