Rate,Weight,Time
0.01,0.0049900000000000005,3.615788307040888e-05
0.011,0.005488999999999999,4.376204780832884e-05
0.012,0.005987999999999999,5.209356435828422e-05
0.013,0.006486999999999999,6.115298323042664e-05
0.014,0.006985999999999999,7.094085567571707e-05
0.015,0.007484999999999999,8.14577336873135e-05
0.016,0.007984,9.270417000197522e-05
0.017,0.008483,0.00010468071810148914
0.018,0.008981999999999999,0.0001173879322140665
0.019,0.009480999999999998,0.00013082636731576324
0.02,0.00998,0.00014499657913190264
0.021,0.010476,0.00015989917031472328
0.022,0.010971999999999999,0.0001755346558421005
0.023,0.011467999999999999,0.00019190359705548187
0.024,0.011964,0.00020900655606038862
0.025,0.01246,0.00022684409572789973
0.026,0.012955999999999999,0.00024541677969611256
0.027,0.013452,0.0002647251723716008
0.028,0.013948,0.00028476983893090417
0.029,0.014444000000000002,0.0003055513453220062
0.03,0.01494,0.0003270702582657926
0.031,0.015434,0.000349327121129585
0.032,0.015928,0.00037232251486088
0.033,0.016422,0.00039605701077199967
0.034,0.016916,0.00042053118096036695
0.035,0.017410000000000002,0.00044574559831000776
0.036,0.017903999999999996,0.00047170083649308945
0.037,0.018397999999999998,0.0004983974699714303
0.038,0.018892,0.0005258360739980204
0.039,0.019385999999999997,0.0005540172246185835
0.04,0.01988,0.0005829414986730895
0.041,0.020377,0.000612609627752466
0.042,0.020874,0.0006430220219570391
0.043,0.021370999999999998,0.0006741792570458269
0.044,0.021868,0.0007060819095687579
0.045,0.022365,0.0007387305568681793
0.046,0.022862,0.0007721257770803757
0.047,0.023359,0.0008062681491371391
0.048,0.023856000000000002,0.0008411582527672806
0.049,0.024353000000000003,0.0008767966684981706
0.05,0.024850000000000004,0.0009131839776573159
0.051,0.025341,0.000950320939757632
0.052,0.025832,0.000988207983336443
0.053,0.026323,0.0010268456991810884
0.054,0.026814,0.001066234678904768
0.055,0.027305,0.0011063755149481828
0.056,0.027796,0.0011472688005811644
0.057,0.028287,0.0011889151299042744
0.058,0.028778,0.001231315097850491
0.059,0.029268999999999996,0.0012744693001868143
0.06,0.029759999999999998,0.0013183783335159024
0.061,0.030248999999999998,0.0013630427289016219
0.062,0.030737999999999998,0.001408463127475749
0.063,0.031227,0.0014546401307210567
0.064,0.031715999999999994,0.0015015743409693015
0.065,0.032205,0.0015492663614028721
